iter	Passed	Remaining
399	36939	129288
400	37024	129169
401	37112	129064
402	37196	128942
403	37281	128822
404	37371	128724
405	37453	128596
406	37556	128540
407	37650	128453
408	37738	128346
409	37829	128250
410	37911	128124
411	37999	128017
412	38095	127938
413	38185	127838
414	38274	127736
415	38368	127648
416	38452	127529
417	38543	127433
418	38632	127329
419	38720	127223
420	38805	127108
421	38894	127007
422	38996	126946
423	39088	126853
424	39179	126756
425	39272	126666
426	39361	126566
427	39459	126491
428	39554	126410
429	39647	126320
430	39735	126213
431	39832	126136
432	39918	126024
433	40010	125930
434	40102	125840
435	40190	125732
436	40274	125614
437	40356	125492
438	40449	125401
439	40530	125276
440	40632	125215
441	40728	125132
442	40820	125040
443	40903	124922
444	40992	124819
445	41082	124722
446	41171	124621
447	41263	124527
448	41359	124448
449	41453	124359
450	41544	124265
451	41630	124153
452	41738	124110
453	41827	124007
454	41918	123912
455	42010	123819
456	42110	123751
457	42203	123660
458	42303	123591
459	42382	123462
460	42471	123360
461	42565	123275
462	42652	123167
463	42739	123059
464	42821	122940
465	42913	122846
466	42995	122724
467	43087	122633
468	43174	122526
469	43265	122430
470	43357	122339
471	43447	122241
472	43535	122139
473	43623	122036
474	43716	121947
475	43810	121859
476	43895	121747
477	43980	121637
478	44072	121543
479	44154	121425
480	44253	121352
481	44342	121251
482	44430	121148
483	44514	121035
484	44597	120918
485	44692	120835
486	44777	120723
487	44856	120596
488	44937	120477
489	45025	120373
490	45114	120276
491	45200	120167
492	45285	120057
493	45370	119946
494	45469	119873
495	45556	119770
496	45649	119679
497	45740	119585
498	45832	119495
499	45914	119376
500	46010	119297
501	46098	119195
502	46183	119085
503	46266	118970
504	46346	118847
505	46437	118755
506	46521	118643
507	46607	118538
508	46693	118431
509	46786	118341
510	46872	118235
511	46964	118144
512	47059	118061
513	47146	117956
514	47246	117888
515	47335	117787
516	47416	117670
517	47502	117564
518	47596	117477
519	47695	117405
520	47779	117293
521	47870	117201
522	47959	117100
523	48046	116999
524	48140	116911
525	48230	116815
526	48319	116718
527	48404	116610
528	48493	116512
529	48578	116404
530	48664	116299
531	48753	116201
532	48858	116142
533	48949	116048
534	49042	115960
535	49133	115866
536	49218	115760
537	49299	115643
538	49390	115549
539	49479	115452
540	49567	115353
541	49661	115265
542	49757	115183
543	49841	115074
544	49929	114976
545	50030	114905
546	50112	114792
547	50194	114677
548	50279	114571
549	50369	114476
550	50455	114372
551	50541	114267
552	50631	114172
553	50732	114103
554	50815	113991
555	50900	113884
556	50982	113773
557	51067	113666
558	51145	113545
559	51225	113427
560	51318	113339
561	51405	113239
562	51493	113140
563	51582	113043
564	51676	112955
565	51760	112848
566	51843	112739
567	51926	112628
568	52008	112516
569	52096	112419
570	52190	112334
571	52276	112229
572	52356	112114
573	52453	112035
574	52544	111941
575	52622	111823
576	52706	111715
577	52790	111608
578	52873	111500
579	52958	111394
580	53045	111294
581	53141	111213
582	53228	111113
583	53318	111018
584	53406	110921
585	53499	110832
586	53582	110724
587	53671	110629
588	53762	110536
589	53858	110455
590	53941	110346
591	54033	110257
592	54116	110149
593	54202	110046
594	54285	109938
595	54379	109853
596	54467	109755
597	54552	109652
598	54637	109549
599	54715	109431
600	54803	109332
601	54897	109247
602	54987	109154
603	55077	109061
604	55163	108959
605	55244	108848
606	55329	108745
607	55413	108639
608	55504	108548
609	55597	108459
610	55691	108374
611	55777	108274
612	55863	108172
613	55944	108061
614	56032	107964
