iter	Logloss
0	0.6756306641
1	0.6593006348
2	0.6436683105
3	0.6286758789
4	0.6138399414
5	0.6004423828
6	0.5871135742
7	0.5741039551
8	0.5617394043
9	0.5509021484
10	0.5403021973
11	0.530294043
12	0.5201635254
13	0.5114876465
14	0.5022226074
15	0.4941677246
16	0.4857374023
17	0.4776449219
18	0.470769873
19	0.4635537598
20	0.4575131836
21	0.4513280273
22	0.4452298828
23	0.439351123
24	0.4335256348
25	0.4279751465
26	0.4233220703
27	0.4184154297
28	0.4137325684
29	0.4098616211
30	0.4052698975
31	0.4008411133
32	0.3973147217
33	0.3936917725
34	0.3897869873
35	0.3866321289
36	0.3832424561
37	0.3802398926
38	0.3773501221
39	0.3748559814
40	0.3724055664
41	0.3693194824
42	0.3669156982
43	0.3642591309
44	0.3616693115
45	0.3592210205
46	0.3571062012
47	0.3547804688
48	0.3526043701
49	0.3503935303
50	0.3482824463
51	0.3462388184
52	0.3442648926
53	0.3425089844
54	0.340903418
55	0.3394908203
56	0.3380738037
57	0.3365596436
58	0.3349652344
59	0.333672876
60	0.3325106934
61	0.3310441895
62	0.3296460449
63	0.328397876
64	0.327051123
65	0.3256132324
66	0.3243554687
67	0.3231884033
68	0.3221494141
69	0.3208555176
70	0.3197335449
71	0.3189467285
72	0.3180243408
73	0.3171795898
74	0.3160759277
75	0.3151214111
76	0.3142348389
77	0.3132838379
78	0.3124884766
79	0.3116171387
80	0.3109621826
81	0.3101576904
82	0.3093468018
83	0.3087715088
84	0.3079784668
85	0.3072731689
86	0.30656875
87	0.3058081055
88	0.3051121094
89	0.3045682861
90	0.3039782227
91	0.3034341309
92	0.3027299561
93	0.3021240723
94	0.3015405273
95	0.3009342041
96	0.3003864746
97	0.2997586426
98	0.2992444824
99	0.2987102539
100	0.2982775879
101	0.2976849854
102	0.2971440918
103	0.2966023437
104	0.2959816895
105	0.2954956787
106	0.2949325928
107	0.2945097168
108	0.2940573242
109	0.2935676758
110	0.2930637695
111	0.2927111816
112	0.2923314697
113	0.2919184814
114	0.2914742432
115	0.2910624268
116	0.2906643799
117	0.2903654785
118	0.2898996338
119	0.2894925049
120	0.2892322754
121	0.2888399658
122	0.2884963135
